document_index,ind,source_id,split_type,activity_label,label,char_start,char_end_exclusive
33,491,activitynet~v_4ksF9BUdQJM,zeroshot,Cutting the grass,2,5482,5609
34,492,activitynet~v_4ksF9BUdQJM,zeroshot,Cutting the grass,0,5611,5826
35,493,activitynet~v_4ksF9BUdQJM,zeroshot,Cutting the grass,0,5828,6102
36,503,activitynet~v_4uwtqRBE4Kk,indomain,Surfing,3,6104,6383
37,527,activitynet~v_5BuDj1xkpiI,zeroshot,Washing face,2,6385,6479
38,529,activitynet~v_5BuDj1xkpiI,zeroshot,Washing face,2,6481,6662
39,560,activitynet~v_5SzzJMuyC_M,indomain,Plastering,1,6664,6862
40,586,activitynet~v_5gc896my38M,indomain,Applying sunscreen,2,6864,7122
41,604,activitynet~v_5wkGeYBS7hQ,indomain,Beer pong,2,7124,7376
42,605,activitynet~v_5wkGeYBS7hQ,indomain,Beer pong,3,7378,7606
43,606,activitynet~v_5wkGeYBS7hQ,indomain,Beer pong,2,7608,7881
44,615,activitynet~v_63Zt34YuyRk,indomain,Grooming dog,0,7883,8135
45,616,activitynet~v_63Zt34YuyRk,indomain,Grooming dog,0,8137,8390
46,618,activitynet~v_674t-jyyKeg,zeroshot,Having an ice cream,0,8392,8619
47,619,activitynet~v_674t-jyyKeg,zeroshot,Having an ice cream,0,8621,8748
48,689,activitynet~v_7NMds32-lMc,zeroshot,Clean and jerk,3,8750,8926
49,708,activitynet~v_7n1L0evoi34,indomain,Grooming dog,2,8928,9084
50,712,activitynet~v_7uE2pMuAM8I,indomain,Polishing shoes,2,9086,9198
51,748,activitynet~v_8EGM3zcvjs8,indomain,Zumba,2,9200,9411
52,801,activitynet~v_8z29qtUWwdU,zeroshot,Sharpening knives,2,9413,9661
53,818,activitynet~v_99A2KqvfBLI,zeroshot,Playing harmonica,3,9663,9754
54,819,activitynet~v_99A2KqvfBLI,zeroshot,Playing harmonica,1,9756,9902
55,854,activitynet~v_9PvtW0Uvnl0,zeroshot,Running a marathon,1,9904,10068
56,855,activitynet~v_9PvtW0Uvnl0,zeroshot,Running a marathon,2,10070,10324
57,858,activitynet~v_9VGxxRNOdbM,indomain,Using the pommel horse,1,10326,10476
58,859,activitynet~v_9VGxxRNOdbM,indomain,Using the pommel horse,0,10478,10718
59,875,activitynet~v_9fnmcyUz5jg,indomain,Kayaking,1,10720,10902
60,876,activitynet~v_9fnmcyUz5jg,indomain,Kayaking,1,10904,11102
61,883,activitynet~v_9mL3eC5iizc,zeroshot,Playing harmonica,1,11104,11311
62,884,activitynet~v_9mL3eC5iizc,zeroshot,Playing harmonica,2,11313,11475
63,886,activitynet~v_9mL3eC5iizc,zeroshot,Playing harmonica,1,11477,11655
64,887,activitynet~v_9nh_6Hzg_aw,indomain,Cleaning windows,3,11657,11836
65,888,activitynet~v_9nh_6Hzg_aw,indomain,Cleaning windows,2,11838,12080
66,923,activitynet~v_9yiXv7Hu5Lw,zeroshot,Ice fishing,0,12082,12207
67,924,activitynet~v_9yiXv7Hu5Lw,zeroshot,Ice fishing,1,12209,12378
68,942,activitynet~v_AWAMhmc08Cw,zeroshot,Washing face,0,12380,12581
69,950,activitynet~v_AmW-O5MmJHk,indomain,Hitting a pinata,0,12583,12727
70,951,activitynet~v_AmW-O5MmJHk,indomain,Hitting a pinata,2,12729,12983
71,989,activitynet~v_B2HIj_QWaG0,zeroshot,Playing violin,2,12985,13215
72,992,activitynet~v_B3ZL18f1x4Y,indomain,Making a sandwich,3,13217,13419
73,1005,activitynet~v_BFICeyu5oMM,indomain,Making a lemonade,1,13421,13512
74,1012,activitynet~v_BJGACTBaU_Y,indomain,Hitting a pinata,3,13514,13686
75,1045,activitynet~v_BfsCKU69hHs,indomain,Ironing clothes,2,13688,13806
76,1046,activitynet~v_BfsCKU69hHs,indomain,Ironing clothes,3,13808,13985
77,1047,activitynet~v_BfsCKU69hHs,indomain,Ironing clothes,2,13987,14130
78,1050,activitynet~v_BnkUgUQBED0,indomain,Clipping cat claws,2,14132,14211
79,1052,activitynet~v_BnkUgUQBED0,indomain,Clipping cat claws,0,14213,14360
80,1053,activitynet~v_BnkUgUQBED0,indomain,Clipping cat claws,3,14362,14527
81,1065,activitynet~v_C1djGYqkhYI,indomain,Baton twirling,3,14529,14715
82,1066,activitynet~v_C1djGYqkhYI,indomain,Baton twirling,0,14717,14961
83,1067,activitynet~v_C1djGYqkhYI,indomain,Baton twirling,1,14963,15223
84,1084,activitynet~v_CJCONq_i1cQ,indomain,Removing ice from car,0,15225,15332
85,1085,activitynet~v_CJCONq_i1cQ,indomain,Removing ice from car,1,15334,15477
86,1087,activitynet~v_CJCONq_i1cQ,indomain,Removing ice from car,1,15479,15656
87,1112,activitynet~v_CcMic7jNIuE,zeroshot,Clean and jerk,0,15658,15861
88,1115,activitynet~v_Ck5i8CVEkJI,indomain,Throwing darts,2,15863,16017
89,1117,activitynet~v_Cof9eHf7VCI,indomain,Surfing,2,16019,16279
90,1119,activitynet~v_Cof9eHf7VCI,indomain,Surfing,1,16281,16567
91,1140,activitynet~v_DACWnbWrd18,zeroshot,Cutting the grass,3,16569,16646
92,1189,activitynet~v_DRK5oUhjwTg,indomain,Rollerblading,1,16648,16888
93,1199,activitynet~v_D_zM6YmlUnw,zeroshot,Sharpening knives,0,16890,17069
94,1200,activitynet~v_D_zM6YmlUnw,zeroshot,Sharpening knives,1,17071,17250
95,1201,activitynet~v_D_zM6YmlUnw,zeroshot,Sharpening knives,2,17252,17411
96,1203,activitynet~v_D_zM6YmlUnw,zeroshot,Sharpening knives,0,17413,17563
97,1204,activitynet~v_D_zM6YmlUnw,zeroshot,Sharpening knives,3,17565,17770
98,1248,activitynet~v_E3h0UHRsSQk,zeroshot,Sharpening knives,1,17772,18009
99,1277,activitynet~v_EKyV_WFsJH0,zeroshot,Layup drill in basketball,3,18011,18187
100,1283,activitynet~v_EVfTWz5GRGw,zeroshot,Washing face,0,18189,18349
101,1301,activitynet~v_EhxFw5Eb1VE,indomain,Using parallel bars,2,18351,18723
102,1321,activitynet~v_ErEr4Sxdprw,zeroshot,Clean and jerk,3,18725,18914
103,1322,activitynet~v_ErEr4Sxdprw,zeroshot,Clean and jerk,2,18916,19174
104,1486,activitynet~v_HV_yqsiFoKA,indomain,Doing a powerbomb,1,19176,19368
105,1493,activitynet~v_HW9c7WFW6q8,indomain,Paintball,2,19370,19548
106,1494,activitynet~v_HW9c7WFW6q8,indomain,Paintball,2,19550,19842
107,1515,activitynet~v_Ho0eNR4jvEg,indomain,Scuba diving,0,19844,19916
108,1516,activitynet~v_Ho0eNR4jvEg,indomain,Scuba diving,2,19918,20021
109,1517,activitynet~v_Ho0eNR4jvEg,indomain,Scuba diving,3,20023,20157
110,1519,activitynet~v_Ho0eNR4jvEg,indomain,Scuba diving,2,20159,20291
111,1549,activitynet~v_IAqNteMxXNk,indomain,Cleaning sink,0,20293,20520
112,1607,activitynet~v_IrO7Fgr102M,indomain,Playing polo,0,20522,20629
113,1608,activitynet~v_IrO7Fgr102M,indomain,Playing polo,3,20631,20791
114,1621,activitynet~v_J5wZTdD4XeU,indomain,Doing fencing,0,20793,20870
115,1622,activitynet~v_J5wZTdD4XeU,indomain,Doing fencing,0,20872,20996
116,1626,activitynet~v_JAZu9CWEVbQ,indomain,Surfing,1,20998,21235
117,1628,activitynet~v_JAZu9CWEVbQ,indomain,Surfing,3,21237,21497
118,1663,activitynet~v_JXucFXh58VE,zeroshot,Ice fishing,2,21499,21742
119,1701,activitynet~v_JuC7EY32Spg,indomain,Putting on shoes,2,21744,21920
120,1708,activitynet~v_K-eZfCs8yOc,zeroshot,Playing violin,2,21922,22033
121,1752,activitynet~v_KV0L45xelkE,zeroshot,Layup drill in basketball,3,22035,22246
122,1755,activitynet~v_KaGXQh-UHVU,indomain,Mooping floor,1,22248,22320
123,1756,activitynet~v_KaGXQh-UHVU,indomain,Mooping floor,0,22322,22452
124,1757,activitynet~v_KaGXQh-UHVU,indomain,Mooping floor,2,22454,22609
125,1758,activitynet~v_KaGXQh-UHVU,indomain,Mooping floor,2,22611,22775
126,1818,activitynet~v_KwY8nf4MqR4,indomain,Tennis serve with ball bouncing,3,22777,22972
127,1819,activitynet~v_KwY8nf4MqR4,indomain,Tennis serve with ball bouncing,0,22974,23229
128,1821,activitynet~v_KwY8nf4MqR4,indomain,Tennis serve with ball bouncing,2,23231,23416
129,1827,activitynet~v_L2oaUDyzWPA,zeroshot,Playing harmonica,1,23418,23525
130,1846,activitynet~v_L9cxYlPkUYs,zeroshot,Running a marathon,1,23527,23688
131,1855,activitynet~v_LKf1eTzmK14,zeroshot,Running a marathon,0,23690,23789
132,1858,activitynet~v_LKf1eTzmK14,zeroshot,Running a marathon,0,23791,24047
133,1860,activitynet~v_LKf1eTzmK14,zeroshot,Running a marathon,1,24049,24215
134,1872,activitynet~v_LaWCwEG6n3w,zeroshot,Ice fishing,2,24217,24375
135,1874,activitynet~v_LbGr5TjfTBY,zeroshot,Sharpening knives,1,24377,24532
136,1875,activitynet~v_LbGr5TjfTBY,zeroshot,Sharpening knives,2,24534,24728
137,1876,activitynet~v_LihSTWbJZJo,indomain,Blowing leaves,0,24730,24920
138,1931,activitynet~v_MJZjSHG6tBY,indomain,Drinking beer,0,24922,25186
139,1932,activitynet~v_MJZjSHG6tBY,indomain,Drinking beer,0,25188,25368
140,1962,activitynet~v_MhO48WnApoM,zeroshot,Ice fishing,1,25370,25672
141,1963,activitynet~v_MhO48WnApoM,zeroshot,Ice fishing,3,25674,25962
142,1998,activitynet~v_N3WVKg7Q2io,indomain,Playing water polo,2,25964,26115
143,2030,activitynet~v_NOGtIoZbEVg,indomain,Playing guitarra,3,26117,26186
144,2047,activitynet~v_NV2scxevYKk,indomain,Canoeing,2,26188,26420
145,2048,activitynet~v_NV2scxevYKk,indomain,Canoeing,3,26422,26647
146,2059,activitynet~v_Nkcc9kLDQz8,indomain,Skiing,3,26649,26732
147,2060,activitynet~v_Nkcc9kLDQz8,indomain,Skiing,2,26734,26848
148,2061,activitynet~v_Nkcc9kLDQz8,indomain,Skiing,1,26850,27005
149,2154,activitynet~v_PUzd4mfmzqo,zeroshot,Layup drill in basketball,1,27007,27301
150,2155,activitynet~v_PUzd4mfmzqo,zeroshot,Layup drill in basketball,1,27303,27507
151,2165,activitynet~v_PcSnU_nGi5E,indomain,Tennis serve with ball bouncing,3,27509,27651
152,2166,activitynet~v_PcSnU_nGi5E,indomain,Tennis serve with ball bouncing,3,27653,27873
153,2215,activitynet~v_Q8EoKJNm4mc,zeroshot,Playing violin,0,27875,28052
154,2216,activitynet~v_Q8EoKJNm4mc,zeroshot,Playing violin,2,28054,28215
155,2217,activitynet~v_QBJelFFVJu0,zeroshot,Playing harmonica,0,28217,28313
156,2218,activitynet~v_QBJelFFVJu0,zeroshot,Playing harmonica,1,28315,28468
157,2219,activitynet~v_QEaQzeB94N4,zeroshot,Playing violin,3,28470,28609
158,2241,activitynet~v_QJmoA3byOzo,indomain,Hand car wash,2,28611,28865
159,2242,activitynet~v_QJmoA3byOzo,indomain,Hand car wash,2,28867,29057
160,2263,activitynet~v_QaNQrUpmmgo,indomain,Using the rowing machine,2,29059,29168
161,2275,activitynet~v_QsfIM28uvHM,indomain,Kite flying,2,29170,29264
162,2278,activitynet~v_Quj1J31xQFM,zeroshot,Washing face,1,29266,29362
163,2281,activitynet~v_QvBG_Da97h8,indomain,Hand car wash,1,29364,29451
164,2282,activitynet~v_QvBG_Da97h8,indomain,Hand car wash,2,29453,29591
165,2284,activitynet~v_QvBG_Da97h8,indomain,Hand car wash,0,29593,29746
166,2301,activitynet~v_RA61jh8HwPI,indomain,Putting on makeup,3,29748,29996
167,2306,activitynet~v_RIaNmXzBQnE,zeroshot,Having an ice cream,1,29998,30131
168,2307,activitynet~v_RIaNmXzBQnE,zeroshot,Having an ice cream,2,30133,30328
169,2324,activitynet~v_RULNhPrXnfA,zeroshot,Playing harmonica,2,30330,30607
170,2361,activitynet~v_SEebwJMNMQs,zeroshot,Playing violin,0,30609,30721
171,2363,activitynet~v_SGdhHAZHwmI,indomain,Putting in contact lenses,0,30723,30813
172,2364,activitynet~v_SGdhHAZHwmI,indomain,Putting in contact lenses,1,30815,30941
173,2390,activitynet~v_SbY68ygmuEA,zeroshot,Running a marathon,2,30943,31054
174,2433,activitynet~v_TEkIJQljABs,zeroshot,Having an ice cream,1,31056,31227
175,2434,activitynet~v_TEkIJQljABs,zeroshot,Having an ice cream,0,31229,31471
176,2477,activitynet~v_Taw5ILRt9hI,indomain,Rollerblading,3,31473,31694
177,2478,activitynet~v_Taw5ILRt9hI,indomain,Rollerblading,3,31696,32023
178,2487,activitynet~v_TfFVoogTDJY,indomain,BMX,0,32025,32252
179,2497,activitynet~v_TssNxg5XJ-o,zeroshot,Ice fishing,2,32254,32409
180,2499,activitynet~v_TssNxg5XJ-o,zeroshot,Ice fishing,2,32411,32620
181,2513,activitynet~v_U0p4tW1LoPg,indomain,Playing water polo,0,32622,32810
182,2514,activitynet~v_U0p4tW1LoPg,indomain,Playing water polo,0,32812,33086
183,2518,activitynet~v_U2u9JboK97A,zeroshot,Layup drill in basketball,1,33088,33240
184,2522,activitynet~v_U2u9JboK97A,zeroshot,Layup drill in basketball,0,33242,33383
185,2533,activitynet~v_UFfi0gxL6_Y,zeroshot,Playing violin,2,33385,33552
186,2552,activitynet~v_UYzgXZIRUR8,indomain,Longboarding,0,33554,33661
187,2553,activitynet~v_UYzgXZIRUR8,indomain,Longboarding,3,33663,33859
188,2558,activitynet~v_U_ZW0tTvf0k,indomain,Getting a piercing,3,33861,34031
189,2581,activitynet~v_UoX2xhYPD38,indomain,Hand washing clothes,0,34033,34170
190,2582,activitynet~v_UoX2xhYPD38,indomain,Hand washing clothes,0,34172,34379
191,2583,activitynet~v_UoX2xhYPD38,indomain,Hand washing clothes,0,34381,34576
192,2611,activitynet~v_V4tqzi5uw9Y,zeroshot,Cutting the grass,2,34578,34666
193,2623,activitynet~v_VFVAkH9zPIM,indomain,Disc dog,1,34668,34749
194,2624,activitynet~v_VFVAkH9zPIM,indomain,Disc dog,2,34751,34869
195,2625,activitynet~v_VFVAkH9zPIM,indomain,Disc dog,1,34871,35051
196,2626,activitynet~v_VFVAkH9zPIM,indomain,Disc dog,3,35053,35244
197,2627,activitynet~v_VFVAkH9zPIM,indomain,Disc dog,0,35246,35408
198,2637,activitynet~v_VOGF4tBFEuw,zeroshot,Cutting the grass,0,35410,35515
199,2638,activitynet~v_VOGF4tBFEuw,zeroshot,Cutting the grass,0,35517,35666
200,2646,activitynet~v_VOyKKN3NdXM,indomain,Hand car wash,1,35668,35807
201,2647,activitynet~v_VOyKKN3NdXM,indomain,Hand car wash,1,35809,36062
202,2651,activitynet~v_VOyKKN3NdXM,indomain,Hand car wash,1,36064,36267
203,2666,activitynet~v_Vcxv3nyZpSs,zeroshot,Cutting the grass,2,36269,36476
204,2667,activitynet~v_Vcxv3nyZpSs,zeroshot,Cutting the grass,2,36478,36682
205,2678,activitynet~v_VuEy38XdUgA,indomain,Shuffleboard,3,36684,36809
206,2680,activitynet~v_VuEy38XdUgA,indomain,Shuffleboard,0,36811,36976
207,2683,activitynet~v_VufybWyvP98,indomain,Playing water polo,2,36978,37160
208,2685,activitynet~v_VufybWyvP98,indomain,Playing water polo,2,37162,37387
209,2716,activitynet~v_WLpjci5dN8s,zeroshot,Sharpening knives,0,37389,37529
210,2717,activitynet~v_WLpjci5dN8s,zeroshot,Sharpening knives,2,37531,37725
211,2722,activitynet~v_WQAVlmS5IWs,zeroshot,Washing face,2,37727,37887
212,2724,activitynet~v_WSpfyZuoi3A,indomain,Snow tubing,0,37889,38129
213,2734,activitynet~v_WVkOtMX9Gg8,indomain,Cricket,3,38131,38347
214,2735,activitynet~v_WVkOtMX9Gg8,indomain,Cricket,2,38349,38669
215,2752,activitynet~v_WnLYDJ8Jwv8,zeroshot,Washing face,3,38671,38837
216,2757,activitynet~v_Wr69bnB86d0,indomain,Drinking beer,1,38839,39026
217,2758,activitynet~v_Wr69bnB86d0,indomain,Drinking beer,2,39028,39296
218,2760,activitynet~v_Wr7YbcQ_Q9g,zeroshot,Cutting the grass,1,39298,39519
219,2763,activitynet~v_Wr_Eu2M7U9E,indomain,Hanging wallpaper,0,39521,39818
220,2764,activitynet~v_Wr_Eu2M7U9E,indomain,Hanging wallpaper,0,39820,39981
221,2765,activitynet~v_Wr_Eu2M7U9E,indomain,Hanging wallpaper,3,39983,40232
222,2766,activitynet~v_Wr_Eu2M7U9E,indomain,Hanging wallpaper,0,40234,40508
223,2770,activitynet~v_WsHzMciP5X8,indomain,Cricket,1,40510,40682
224,2795,activitynet~v_XKA2W2735WM,indomain,Drum corps,0,40684,40854
225,2797,activitynet~v_XKA2W2735WM,indomain,Drum corps,2,40856,41021
226,2815,activitynet~v_Xa1yH3vxlAk,indomain,Playing bagpipes,2,41023,41127
227,2892,activitynet~v_YcDlkZkPb6g,zeroshot,Layup drill in basketball,2,41129,41289
228,2893,activitynet~v_YcDlkZkPb6g,zeroshot,Layup drill in basketball,3,41291,41556
229,2894,activitynet~v_YcDlkZkPb6g,zeroshot,Layup drill in basketball,0,41558,41852
230,2921,activitynet~v_YoXZfvf5Teg,zeroshot,Playing violin,1,41854,42209
231,2922,activitynet~v_YoXZfvf5Teg,zeroshot,Playing violin,1,42211,42518
232,2923,activitynet~v_YoXZfvf5Teg,zeroshot,Playing violin,0,42520,42760
233,2953,activitynet~v_Z8yKTJeRMOE,indomain,Painting furniture,0,42762,42999
234,2954,activitynet~v_Z8yKTJeRMOE,indomain,Painting furniture,1,43001,43328
235,2955,activitynet~v_Z8yKTJeRMOE,indomain,Painting furniture,0,43330,43609
236,2968,activitynet~v_ZREEgMgSz_o,zeroshot,Washing face,0,43611,43735
237,2969,activitynet~v_ZREEgMgSz_o,zeroshot,Washing face,2,43737,43900
238,2970,activitynet~v_ZREEgMgSz_o,zeroshot,Washing face,1,43902,44068
239,3049,activitynet~v__akwfjIbsUA,indomain,Fun sliding down,3,44070,44228
240,3079,activitynet~v__rzxmgPv6Co,indomain,Doing motocross,3,44230,44470
241,3129,activitynet~v_aJbl1eVBzk0,indomain,Assembling bicycle,1,44472,44560
242,3130,activitynet~v_aJbl1eVBzk0,indomain,Assembling bicycle,3,44562,44680
243,3131,activitynet~v_aJbl1eVBzk0,indomain,Assembling bicycle,3,44682,44839
244,3146,activitynet~v_aXnllTmgeqg,indomain,Playing drums,0,44841,44924
245,3147,activitynet~v_aXnllTmgeqg,indomain,Playing drums,2,44926,45048
246,3158,activitynet~v_al_769KF6Qc,indomain,Spread mulch,1,45050,45211
247,3173,activitynet~v_b5E7-GxvCdk,zeroshot,Cutting the grass,0,45213,45346
248,3174,activitynet~v_b5E7-GxvCdk,zeroshot,Cutting the grass,2,45348,45547
249,3193,activitynet~v_bEniqIC5Ric,indomain,Camel ride,3,45549,45697
250,3289,activitynet~v_bxRZ-Lvjgzk,indomain,Painting,2,45699,45880
251,3295,activitynet~v_bz62JE0qMSk,indomain,Playing badminton,2,45882,46031
252,3317,activitynet~v_c8HFew22GnI,indomain,Wakeboarding,1,46033,46169
253,3373,activitynet~v_ciXArKhjAv8,zeroshot,Having an ice cream,2,46171,46281
254,3391,activitynet~v_cuyD4bT4Bvc,indomain,Rollerblading,3,46283,46471
255,3528,activitynet~v_ePAc9xK9fac,indomain,Rock climbing,2,46473,46586
256,3534,activitynet~v_eUvvxpAK3_8,indomain,Cleaning shoes,3,46588,46740
257,3547,activitynet~v_eg3oZ4XCEKk,zeroshot,Running a marathon,0,46742,47033
258,3577,activitynet~v_ezx7z-kx2v4,indomain,Discus throw,1,47035,47112
259,3623,activitynet~v_fY2IeYSxY4U,indomain,Rock climbing,2,47114,47368
260,3630,activitynet~v_fgEMvRrOCRI,indomain,Hurling,0,47370,47614
261,3631,activitynet~v_fgEMvRrOCRI,indomain,Hurling,0,47616,47893
262,3632,activitynet~v_fgEMvRrOCRI,indomain,Hurling,2,47895,48109
263,3659,activitynet~v_fwqDDFkOaCc,zeroshot,Playing violin,0,48111,48318
264,3660,activitynet~v_fwqDDFkOaCc,zeroshot,Playing violin,1,48320,48607
265,3662,activitynet~v_fwqDDFkOaCc,zeroshot,Playing violin,1,48609,48835
266,3670,activitynet~v_fzwNgtDwgKQ,zeroshot,Cutting the grass,2,48837,48993
267,3680,activitynet~v_g6tF83rCXh0,zeroshot,Clean and jerk,0,48995,49105
268,3743,activitynet~v_gx6QvOXwetM,zeroshot,Cutting the grass,3,49107,49289
269,3744,activitynet~v_gx6QvOXwetM,zeroshot,Cutting the grass,3,49291,49496
270,3802,activitynet~v_hUzsmIWojH0,zeroshot,High jump,2,49498,49586
271,3808,activitynet~v_hYj38k-VOFM,indomain,Raking leaves,0,49588,49801
272,3857,activitynet~v_i3H8cucgXEc,indomain,Rollerblading,3,49803,49998
273,3869,activitynet~v_iJPPWotXvV0,zeroshot,Clean and jerk,1,50000,50099
274,3886,activitynet~v_iVGGeRlJekQ,indomain,Wrapping presents,1,50101,50253
275,3890,activitynet~v_iXLXRHHFp60,indomain,Playing polo,1,50255,50367
276,3892,activitynet~v_iXLXRHHFp60,indomain,Playing polo,0,50369,50567
277,3894,activitynet~v_iXLXRHHFp60,indomain,Playing polo,0,50569,50771
278,3934,activitynet~v_j5Fq7Y8EJk8,indomain,Waterskiing,0,50773,50927
279,3957,activitynet~v_jHyWtrhNTTk,zeroshot,High jump,0,50929,51049
280,3959,activitynet~v_jHyWtrhNTTk,zeroshot,High jump,3,51051,51187
281,3974,activitynet~v_jYA_3BMF2d4,indomain,Tai chi,1,51189,51256
282,3976,activitynet~v_jYA_3BMF2d4,indomain,Tai chi,0,51258,51384
283,3978,activitynet~v_jYA_3BMF2d4,indomain,Tai chi,1,51386,51506
284,3991,activitynet~v_jfnFrt9nfSo,zeroshot,Layup drill in basketball,1,51508,51600
285,4008,activitynet~v_js9SDSngI7A,zeroshot,Layup drill in basketball,3,51602,51856
286,4009,activitynet~v_js9SDSngI7A,zeroshot,Layup drill in basketball,1,51858,52070
287,4010,activitynet~v_js9SDSngI7A,zeroshot,Layup drill in basketball,0,52072,52370
288,4011,activitynet~v_js9SDSngI7A,zeroshot,Layup drill in basketball,3,52372,52593
289,4061,activitynet~v_kMHMdqkGRB4,indomain,Using the pommel horse,3,52595,52782
290,4088,activitynet~v_kzeKQBi6Rhg,zeroshot,Playing violin,0,52784,52991
291,4089,activitynet~v_kzeKQBi6Rhg,zeroshot,Playing violin,2,52993,53198
292,4090,activitynet~v_kzeKQBi6Rhg,zeroshot,Playing violin,1,53200,53369
293,4091,activitynet~v_kzeKQBi6Rhg,zeroshot,Playing violin,2,53371,53605
294,4121,activitynet~v_lMYtmGRAn8k,indomain,Rope skipping,1,53607,53745
295,4122,activitynet~v_lO1r4df9uUc,indomain,Waterskiing,2,53747,53835
296,4123,activitynet~v_lO1r4df9uUc,indomain,Waterskiing,1,53837,53976
297,4126,activitynet~v_lSbbzsOjwno,indomain,Bathing dog,1,53978,54164
298,4133,activitynet~v_l_36uVP3LnI,indomain,Triple jump,2,54166,54331
299,4141,activitynet~v_leJM3mgm_gU,indomain,Playing kickball,0,54333,54415
300,4156,activitynet~v_lk2niPrG3y8,indomain,Rope skipping,2,54417,54575
301,4157,activitynet~v_lk2niPrG3y8,indomain,Rope skipping,3,54577,54830
302,4159,activitynet~v_lkCpF06uEmE,zeroshot,Clean and jerk,1,54832,55053
303,4160,activitynet~v_ll4HKY9ZBOA,indomain,Drum corps,3,55055,55212
304,4250,activitynet~v_mfq5Y7S3BWs,indomain,Spinning,2,55214,55393
305,4252,activitynet~v_mfq5Y7S3BWs,indomain,Spinning,1,55395,55614
306,4254,activitynet~v_mfq5Y7S3BWs,indomain,Spinning,1,55616,55799
307,4263,activitynet~v_mvomkmq32vU,zeroshot,High jump,3,55801,55933
308,4264,activitynet~v_mvomkmq32vU,zeroshot,High jump,0,55935,56167
309,4269,activitynet~v_n1LmL6_vxKs,zeroshot,Clean and jerk,3,56169,56297
310,4341,activitynet~v_nrC41oAR-F0,zeroshot,High jump,0,56299,56419
311,4342,activitynet~v_nrC41oAR-F0,zeroshot,High jump,1,56421,56595
312,4351,activitynet~v_nuEK3POl9jA,zeroshot,Clean and jerk,0,56597,56756
313,4377,activitynet~v_o8RIoxL9FDE,zeroshot,Gargling mouthwash,3,56758,57004
314,4378,activitynet~v_o8RIoxL9FDE,zeroshot,Gargling mouthwash,0,57006,57224
315,4428,activitynet~v_oXqzXQRqAhI,zeroshot,Washing face,1,57226,57436
316,4430,activitynet~v_oZa-yum3mcU,indomain,Horseback riding,3,57438,57785
317,4431,activitynet~v_oZa-yum3mcU,indomain,Horseback riding,1,57787,58130
318,4432,activitynet~v_oZa-yum3mcU,indomain,Horseback riding,1,58132,58400
